"","KSDistance","rSigmaMean","rIntSEMod","rSigmaSD","scn"
"5",0.2168,0.23,1,0.14,"All"
"15",0.144,0.23,2.5,0.14,"All"
"25",0.0697,0.23,4,0.14,"All"
"35",0.0922,0.23,5.5,0.14,"All"
"45",0.1374,0.23,7,0.14,"All"
"55",0.1955,0.345,1,0.14,"All"
"65",0.1362,0.345,2.5,0.14,"All"
"75",0.063,0.345,4,0.14,"All"
"85",0.0933,0.345,5.5,0.14,"All"
"95",0.1434,0.345,7,0.14,"All"
"105",0.1644,0.46,1,0.14,"All"
"115",0.1108,0.46,2.5,0.14,"All"
"125",0.0535,0.46,4,0.14,"All"
"135",0.1056,0.46,5.5,0.14,"All"
"145",0.1452,0.46,7,0.14,"All"
"155",0.1245,0.575,1,0.14,"All"
"165",0.0858,0.575,2.5,0.14,"All"
"175",0.0559,0.575,4,0.14,"All"
"185",0.1018,0.575,5.5,0.14,"All"
"195",0.1605,0.575,7,0.14,"All"
"205",0.1047,0.69,1,0.14,"All"
"215",0.0692,0.69,2.5,0.14,"All"
"225",0.0753,0.69,4,0.14,"All"
"235",0.1125,0.69,5.5,0.14,"All"
"245",0.1618,0.69,7,0.14,"All"
"255",0.1876,0.23,1,0.18,"All"
"265",0.1244,0.23,2.5,0.18,"All"
"275",0.0608,0.23,4,0.18,"All"
"285",0.1052,0.23,5.5,0.18,"All"
"295",0.1357,0.23,7,0.18,"All"
"305",0.1755,0.345,1,0.18,"All"
"315",0.1203,0.345,2.5,0.18,"All"
"325",0.0571,0.345,4,0.18,"All"
"335",0.1095,0.345,5.5,0.18,"All"
"345",0.145,0.345,7,0.18,"All"
"355",0.1473,0.46,1,0.18,"All"
"365",0.096,0.46,2.5,0.18,"All"
"375",0.0589,0.46,4,0.18,"All"
"385",0.1081,0.46,5.5,0.18,"All"
"395",0.1454,0.46,7,0.18,"All"
"405",0.144,0.575,1,0.18,"All"
"415",0.0801,0.575,2.5,0.18,"All"
"425",0.0653,0.575,4,0.18,"All"
"435",0.1134,0.575,5.5,0.18,"All"
"445",0.1585,0.575,7,0.18,"All"
"455",0.1051,0.69,1,0.18,"All"
"465",0.0622,0.69,2.5,0.18,"All"
"475",0.0757,0.69,4,0.18,"All"
"485",0.1195,0.69,5.5,0.18,"All"
"495",0.1645,0.69,7,0.18,"All"
"505",0.1613,0.23,1,0.22,"All"
"515",0.1144,0.23,2.5,0.22,"All"
"525",0.0484,0.23,4,0.22,"All"
"535",0.103,0.23,5.5,0.22,"All"
"545",0.1432,0.23,7,0.22,"All"
"555",0.1495,0.345,1,0.22,"All"
"565",0.0989,0.345,2.5,0.22,"All"
"575",0.0605,0.345,4,0.22,"All"
"585",0.1103,0.345,5.5,0.22,"All"
"595",0.149,0.345,7,0.22,"All"
"605",0.1398,0.46,1,0.22,"All"
"615",0.0888,0.46,2.5,0.22,"All"
"625",0.0658,0.46,4,0.22,"All"
"635",0.1193,0.46,5.5,0.22,"All"
"645",0.157,0.46,7,0.22,"All"
"655",0.1174,0.575,1,0.22,"All"
"665",0.075,0.575,2.5,0.22,"All"
"675",0.0741,0.575,4,0.22,"All"
"685",0.1184,0.575,5.5,0.22,"All"
"695",0.1657,0.575,7,0.22,"All"
"705",0.0965,0.69,1,0.22,"All"
"715",0.0579,0.69,2.5,0.22,"All"
"725",0.0869,0.69,4,0.22,"All"
"735",0.1273,0.69,5.5,0.22,"All"
"745",0.161,0.69,7,0.22,"All"
"755",0.1369,0.23,1,0.26,"All"
"765",0.0864,0.23,2.5,0.26,"All"
"775",0.0651,0.23,4,0.26,"All"
"785",0.1128,0.23,5.5,0.26,"All"
"795",0.154,0.23,7,0.26,"All"
"805",0.1348,0.345,1,0.26,"All"
"815",0.0869,0.345,2.5,0.26,"All"
"825",0.0659,0.345,4,0.26,"All"
"835",0.1168,0.345,5.5,0.26,"All"
"845",0.1538,0.345,7,0.26,"All"
"855",0.1147,0.46,1,0.26,"All"
"865",0.0809,0.46,2.5,0.26,"All"
"875",0.0756,0.46,4,0.26,"All"
"885",0.1243,0.46,5.5,0.26,"All"
"895",0.1485,0.46,7,0.26,"All"
"905",0.1051,0.575,1,0.26,"All"
"915",0.0641,0.575,2.5,0.26,"All"
"925",0.0814,0.575,4,0.26,"All"
"935",0.1231,0.575,5.5,0.26,"All"
"945",0.1596,0.575,7,0.26,"All"
"955",0.0859,0.69,1,0.26,"All"
"965",0.0554,0.69,2.5,0.26,"All"
"975",0.0915,0.69,4,0.26,"All"
"985",0.1332,0.69,5.5,0.26,"All"
"995",0.1647,0.69,7,0.26,"All"
"751",0.1191,0.23,1,0.14,"Low"
"1551",0.5057,0.23,2.5,0.14,"Low"
"2351",0.5227,0.23,4,0.14,"Low"
"3151",0.3525,0.23,5.5,0.14,"Low"
"3951",0.22,0.23,7,0.14,"Low"
"4751",0.4954,0.345,1,0.14,"Low"
"5551",0.5543,0.345,2.5,0.14,"Low"
"6351",0.2666,0.345,4,0.14,"Low"
"7151",0.3825,0.345,5.5,0.14,"Low"
"7951",0.6228,0.345,7,0.14,"Low"
"8751",0.8323,0.46,1,0.14,"Low"
"9551",0.569,0.46,2.5,0.14,"Low"
"1035",0.7236,0.46,4,0.14,"Low"
"1115",0.734,0.46,5.5,0.14,"Low"
"1195",0.5326,0.46,7,0.14,"Low"
"1275",0.6416,0.575,1,0.14,"Low"
"1355",0.5553,0.575,2.5,0.14,"Low"
"1435",0.562,0.575,4,0.14,"Low"
"1515",0.3703,0.575,5.5,0.14,"Low"
"1595",0.4844,0.575,7,0.14,"Low"
"1675",0.0425,0.69,1,0.14,"Low"
"1755",0.5815,0.69,2.5,0.14,"Low"
"1835",0.3436,0.69,4,0.14,"Low"
"1915",0.4311,0.69,5.5,0.14,"Low"
"1995",0.3324,0.69,7,0.14,"Low"
"2075",0.6431,0.23,1,0.18,"Low"
"2155",0.3331,0.23,2.5,0.18,"Low"
"2235",0.6404,0.23,4,0.18,"Low"
"2315",0.3852,0.23,5.5,0.18,"Low"
"2395",0.3819,0.23,7,0.18,"Low"
"2475",0.5033,0.345,1,0.18,"Low"
"2555",0.2606,0.345,2.5,0.18,"Low"
"2635",0.3864,0.345,4,0.18,"Low"
"2715",0.2279,0.345,5.5,0.18,"Low"
"2795",0.7175,0.345,7,0.18,"Low"
"2875",0.2271,0.46,1,0.18,"Low"
"2955",0.6097,0.46,2.5,0.18,"Low"
"3035",0.7888,0.46,4,0.18,"Low"
"3115",0.7397,0.46,5.5,0.18,"Low"
"3195",0.6534,0.46,7,0.18,"Low"
"3275",0.6637,0.575,1,0.18,"Low"
"3355",0.2534,0.575,2.5,0.18,"Low"
"3435",0.2261,0.575,4,0.18,"Low"
"3515",0.3022,0.575,5.5,0.18,"Low"
"3595",0.2728,0.575,7,0.18,"Low"
"3675",0.6822,0.69,1,0.18,"Low"
"3755",0.5782,0.69,2.5,0.18,"Low"
"3835",0.2692,0.69,4,0.18,"Low"
"3915",0.2625,0.69,5.5,0.18,"Low"
"3995",0.6011,0.69,7,0.18,"Low"
"4075",0.517,0.23,1,0.22,"Low"
"4155",0.2465,0.23,2.5,0.22,"Low"
"4235",0.2848,0.23,4,0.22,"Low"
"4315",0.5778,0.23,5.5,0.22,"Low"
"4395",0.3115,0.23,7,0.22,"Low"
"4475",0.1811,0.345,1,0.22,"Low"
"4555",0.345,0.345,2.5,0.22,"Low"
"4635",0.7744,0.345,4,0.22,"Low"
"4715",0.3144,0.345,5.5,0.22,"Low"
"4795",0.5131,0.345,7,0.22,"Low"
"4875",0.1953,0.46,1,0.22,"Low"
"4955",0.4986,0.46,2.5,0.22,"Low"
"5035",0.4372,0.46,4,0.22,"Low"
"5115",0.5885,0.46,5.5,0.22,"Low"
"5195",0.4315,0.46,7,0.22,"Low"
"5275",0.1001,0.575,1,0.22,"Low"
"5355",0.2032,0.575,2.5,0.22,"Low"
"5435",0.6885,0.575,4,0.22,"Low"
"5515",0.3985,0.575,5.5,0.22,"Low"
"5595",0.8467,0.575,7,0.22,"Low"
"5675",0.6134,0.69,1,0.22,"Low"
"5755",0.5965,0.69,2.5,0.22,"Low"
"5835",0.7073,0.69,4,0.22,"Low"
"5915",0.2557,0.69,5.5,0.22,"Low"
"5995",0.346,0.69,7,0.22,"Low"
"6075",0.1419,0.23,1,0.26,"Low"
"6155",0.2171,0.23,2.5,0.26,"Low"
"6235",0.427,0.23,4,0.26,"Low"
"6315",0.453,0.23,5.5,0.26,"Low"
"6395",0.5261,0.23,7,0.26,"Low"
"6475",0.0533,0.345,1,0.26,"Low"
"6555",0.2111,0.345,2.5,0.26,"Low"
"6635",0.217,0.345,4,0.26,"Low"
"6715",0.4002,0.345,5.5,0.26,"Low"
"6795",0.3441,0.345,7,0.26,"Low"
"6875",0.3939,0.46,1,0.26,"Low"
"6955",0.7743,0.46,2.5,0.26,"Low"
"7035",0.1523,0.46,4,0.26,"Low"
"7115",0.6215,0.46,5.5,0.26,"Low"
"7195",0.3023,0.46,7,0.26,"Low"
"7275",0.3743,0.575,1,0.26,"Low"
"7355",0.6766,0.575,2.5,0.26,"Low"
"7435",0.5915,0.575,4,0.26,"Low"
"7515",0.5933,0.575,5.5,0.26,"Low"
"7595",0.3177,0.575,7,0.26,"Low"
"7675",0.0747,0.69,1,0.26,"Low"
"7755",0.2765,0.69,2.5,0.26,"Low"
"7835",0.8076,0.69,4,0.26,"Low"
"7915",0.6636,0.69,5.5,0.26,"Low"
"7995",0.4664,0.69,7,0.26,"Low"
"752",0.628,0.23,1,0.14,"High"
"1552",0.5904,0.23,2.5,0.14,"High"
"2352",0.8723,0.23,4,0.14,"High"
"3152",0.3648,0.23,5.5,0.14,"High"
"3952",0.5987,0.23,7,0.14,"High"
"4752",0.9698,0.345,1,0.14,"High"
"5552",0.258,0.345,2.5,0.14,"High"
"6352",0.2766,0.345,4,0.14,"High"
"7152",0.2601,0.345,5.5,0.14,"High"
"7952",0.3609,0.345,7,0.14,"High"
"8752",0.8448,0.46,1,0.14,"High"
"9552",0.4062,0.46,2.5,0.14,"High"
"10351",0.3286,0.46,4,0.14,"High"
"11151",0.6228,0.46,5.5,0.14,"High"
"11951",0.7285,0.46,7,0.14,"High"
"12751",0.4591,0.575,1,0.14,"High"
"13551",0.5536,0.575,2.5,0.14,"High"
"14351",0.1882,0.575,4,0.14,"High"
"15151",0.3335,0.575,5.5,0.14,"High"
"15951",0.5434,0.575,7,0.14,"High"
"16751",0.1923,0.69,1,0.14,"High"
"17551",0.447,0.69,2.5,0.14,"High"
"18351",0.2977,0.69,4,0.14,"High"
"19151",0.4764,0.69,5.5,0.14,"High"
"19951",0.4712,0.69,7,0.14,"High"
"20751",0.2828,0.23,1,0.18,"High"
"21551",0.4554,0.23,2.5,0.18,"High"
"22351",0.2172,0.23,4,0.18,"High"
"23151",0.3075,0.23,5.5,0.18,"High"
"23951",0.2568,0.23,7,0.18,"High"
"24751",0.9422,0.345,1,0.18,"High"
"25551",0.3397,0.345,2.5,0.18,"High"
"26351",0.529,0.345,4,0.18,"High"
"27151",0.4688,0.345,5.5,0.18,"High"
"27951",0.5028,0.345,7,0.18,"High"
"28751",0.9757,0.46,1,0.18,"High"
"29551",0.3501,0.46,2.5,0.18,"High"
"30351",0.4687,0.46,4,0.18,"High"
"31151",0.4592,0.46,5.5,0.18,"High"
"31951",0.5261,0.46,7,0.18,"High"
"32751",0.1806,0.575,1,0.18,"High"
"33551",0.1918,0.575,2.5,0.18,"High"
"34351",0.4001,0.575,4,0.18,"High"
"35151",0.7091,0.575,5.5,0.18,"High"
"35951",0.8363,0.575,7,0.18,"High"
"36751",0.3797,0.69,1,0.18,"High"
"37551",0.4229,0.69,2.5,0.18,"High"
"38351",0.5218,0.69,4,0.18,"High"
"39151",0.31,0.69,5.5,0.18,"High"
"39951",0.4465,0.69,7,0.18,"High"
"40751",0.347,0.23,1,0.22,"High"
"41551",0.7889,0.23,2.5,0.22,"High"
"42351",0.9754,0.23,4,0.22,"High"
"43151",0.8713,0.23,5.5,0.22,"High"
"43951",0.2843,0.23,7,0.22,"High"
"44751",0.5559,0.345,1,0.22,"High"
"45551",0.4176,0.345,2.5,0.22,"High"
"46351",0.3739,0.345,4,0.22,"High"
"47151",0.255,0.345,5.5,0.22,"High"
"47951",0.2045,0.345,7,0.22,"High"
"48751",0.9124,0.46,1,0.22,"High"
"49551",0.2411,0.46,2.5,0.22,"High"
"50351",0.3953,0.46,4,0.22,"High"
"51151",0.7737,0.46,5.5,0.22,"High"
"51951",0.5603,0.46,7,0.22,"High"
"52751",0.7753,0.575,1,0.22,"High"
"53551",0.3396,0.575,2.5,0.22,"High"
"54351",0.6932,0.575,4,0.22,"High"
"55151",0.8668,0.575,5.5,0.22,"High"
"55951",0.2728,0.575,7,0.22,"High"
"56751",0.5244,0.69,1,0.22,"High"
"57551",0.466,0.69,2.5,0.22,"High"
"58351",0.3607,0.69,4,0.22,"High"
"59151",0.3409,0.69,5.5,0.22,"High"
"59951",0.3298,0.69,7,0.22,"High"
"60751",0.6168,0.23,1,0.26,"High"
"61551",0.3641,0.23,2.5,0.26,"High"
"62351",0.2756,0.23,4,0.26,"High"
"63151",0.6728,0.23,5.5,0.26,"High"
"63951",0.6265,0.23,7,0.26,"High"
"64751",0.1716,0.345,1,0.26,"High"
"65551",0.5294,0.345,2.5,0.26,"High"
"66351",0.8455,0.345,4,0.26,"High"
"67151",0.4763,0.345,5.5,0.26,"High"
"67951",0.6775,0.345,7,0.26,"High"
"68751",0.6536,0.46,1,0.26,"High"
"69551",0.7912,0.46,2.5,0.26,"High"
"70351",0.5296,0.46,4,0.26,"High"
"71151",0.4491,0.46,5.5,0.26,"High"
"71951",0.34,0.46,7,0.26,"High"
"72751",0.3721,0.575,1,0.26,"High"
"73551",0.5686,0.575,2.5,0.26,"High"
"74351",0.3365,0.575,4,0.26,"High"
"75151",0.2801,0.575,5.5,0.26,"High"
"75951",0.3241,0.575,7,0.26,"High"
"76751",0.4211,0.69,1,0.26,"High"
"77551",0.8802,0.69,2.5,0.26,"High"
"78351",0.3404,0.69,4,0.26,"High"
"79151",0.3942,0.69,5.5,0.26,"High"
"79951",0.8886,0.69,7,0.26,"High"
