"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","interannualVar","rep","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","pageLab","pageId"
24,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,0,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,23,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,22,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,20,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,16,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,8,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,0,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,23,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,22,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,20,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,16,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,8,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.972148299296387,0.508951200144365,0,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,23,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,22,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,20,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,16,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,8,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,0,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,23,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,22,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,20,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,16,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,8,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,0,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,23,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,22,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,20,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,16,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,8,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.37903814418707,0.667270158692263,0,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,23,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,22,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,20,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,16,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,8,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,0,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,23,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,22,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,20,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,16,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,8,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,0,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,23,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,22,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,20,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,16,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,8,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",4,0.948592408457771,0.76210629447829,0,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,23,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,22,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,20,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,16,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,8,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,0,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,23,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,22,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,20,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,16,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,8,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,0,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,23,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,22,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,20,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,16,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,8,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0431990399118513,0.0803313538059592,0,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,23,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,22,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,20,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,16,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,8,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,0,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,23,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,22,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,20,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,16,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,8,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,0,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,23,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,22,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,20,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,16,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,8,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,20,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.0703535856911913,0.70780508838594,0,-3,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,23,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,22,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,20,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,16,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,8,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,0,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,23,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,22,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,20,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,16,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,8,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,0,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,23,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,22,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,20,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,16,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,8,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,40,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.181376430117525,0.187438415386714,0,17,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,23,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,22,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,20,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,16,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,8,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,0,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,23,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,22,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,20,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,16,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,8,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,0,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,23,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,22,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,20,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,16,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,8,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,60,1,1,"list(R_CV=0.46,S_CV=0.087)",5,0.169505411027931,0.491764538208954,0,37,20,1,5000,"cmult6ay1aSf1repBatch1",1
